cfg,bench,fastfwd,maxinst,sim_num_insn,sim_num_refs,sim_elapsed_time,sim_inst_rate,sim_cycle,sim_IPC,sim_CPI,il1.miss_rate,dl1.miss_rate,ul2.miss_rate
ghb_d1,cc1,100000,5000000,554412,202012,1,554412.0000,447600,1.2386,0.8073,0.0421,0.0144,0.1105
ghb_d1,perl,100000,5000000,5000001,1832307,1,5000001.0000,5433338,0.9202,1.0867,0.0735,0.0148,0.0137
ghb_d1,go,100000,5000000,5000000,973429,1,5000000.0000,2705686,1.8480,0.5411,0.0001,0.0550,0.0873
ghb_d2,cc1,100000,5000000,554412,202012,1,554412.0000,447041,1.2402,0.8063,0.0421,0.0144,0.1101
ghb_d2,perl,100000,5000000,5000001,1832307,1,5000001.0000,5427709,0.9212,1.0855,0.0735,0.0148,0.0138
ghb_d2,go,100000,5000000,5000000,973429,1,5000000.0000,2705816,1.8479,0.5412,0.0001,0.0550,0.0869
ghb_d4,cc1,100000,5000000,554412,202012,1,554412.0000,446275,1.2423,0.8050,0.0421,0.0144,0.1097
ghb_d4,perl,100000,5000000,5000001,1832307,1,5000001.0000,5416965,0.9230,1.0834,0.0735,0.0148,0.0139
ghb_d4,go,100000,5000000,5000000,973429,1,5000000.0000,2705686,1.8480,0.5411,0.0001,0.0550,0.0858
ghb_d8,cc1,100000,5000000,554412,202012,1,554412.0000,445561,1.2443,0.8037,0.0421,0.0144,0.1090
ghb_d8,perl,100000,5000000,5000001,1832307,1,5000001.0000,5409161,0.9244,1.0818,0.0735,0.0148,0.0140
ghb_d8,go,100000,5000000,5000000,973429,1,5000000.0000,2706179,1.8476,0.5412,0.0001,0.0550,0.0871
ghb_d16,cc1,100000,5000000,554412,202012,1,554412.0000,445290,1.2451,0.8032,0.0421,0.0144,0.1099
ghb_d16,perl,100000,5000000,5000001,1832307,1,5000001.0000,5402248,0.9255,1.0804,0.0735,0.0148,0.0142
ghb_d16,go,100000,5000000,5000000,973429,1,5000000.0000,2706651,1.8473,0.5413,0.0001,0.0550,0.0884
